car_id,car_name,brand,model,variant,price_ex_showroom_lakh,price_on_road_lakh,min_price_lakh,max_price_lakh,battery_capacity_kwh,claimed_range_km,real_world_range_km,charging_time_ac_hours,charging_time_dc_minutes,fast_charging_available,motor_power_kw,torque_nm,top_speed_kmph,acceleration_0_100_sec,body_type,segment,seating_capacity,boot_space_litres,ground_clearance_mm,safety_rating,airbags,transmission,drive_type,warranty_years,battery_warranty_years,battery_warranty_km,home_charging_supported,pros,cons,source_url,last_updated,status,price_text,range_text,battery_text,charging_text,useful_features,variants_count,image_url,image_source_url,data_source,data_collected_date,notes,sales_latest_month,sales_previous_month,sales_3_months_ago,sales_data_month,sales_source,price_score,range_score,battery_score,charging_score,safety_score,performance_score,family_score,city_size_score,city_score,highway_score,value_for_money_score,sales_volume_score,sales_momentum_score,rating_count_score,availability_score,variant_depth_score,popularity_score
vayve_mobility_eva,Vayve Mobility Eva,Vayve Mobility,Eva,Model range,3.25,3.25,3.25,4.49,18.0,250.0,250.0,2.5,52.0,True,35.0,86.0,107.0,14.5,Compact,City Hatchback,3.0,250.0,170.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,Solar integration; CCS2 fast charging; TPMS; driver airbag; reverse camera; Apple CarPlay/Android Auto,Added from user sample and verified against Vayve official pricing/spec page.,https://evayve.com/eva?pricing=1,2026-07-13,Pre-booking / India-focused solar EV,Rs. 3.25 - 4.49 Lakh,125 to 250 km real range,9 to 18 kWh,AC charging listed; top Vega supports CCS2 fast charging,Solar integration; CCS2 fast charging; TPMS; driver airbag; reverse camera; Apple CarPlay/Android Auto,3.0,https://evayve.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Feva-hero.95ff4c47.png&w=3840&q=75,https://evayve.com/eva?pricing=1,Vayve official page,2026-07-11,Added from user sample and verified against Vayve official pricing/spec page.,,,,,,1.0,0.11644832605531295,0.005736137667304029,0.9191304347826086,0.6,0.0,0.31,1.0,0.6896549857447039,0.31790965128789317,0.6640136636921714,0.0,0.44999999999999996,0.5,0.65,0.08695652173913043,0.232638161382191
tata_tiago_ev,Tata Tiago EV,Tata,Tiago EV,Model range,5.84,5.84,5.84,9.99,24.0,215.0,170.0,3.5,52.0,True,55.0,135.0,114.0,13.7,Hatchback,City Hatchback,5.0,250.0,170.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps,,https://www.carwale.com/tata-cars/tiago-ev/,2026-07-13,On sale / listed by CarWale,Rs. 5.84 - 9.99 Lakh,170 to 215 km,19.2 to 24 kWh,Charging Time (AC Fast Charger) 10-100 % : 3 hrs 30 / Charging Time (AC Fast Charger) 10-100 % : 2 hrs 36,High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps,4.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/218950/next-gen-tiago-ev-exterior-right-front-three-quarter-36.png?isig=0&q=80,https://www.carwale.com/tata-cars/tiago-ev/,CarWale listing and model page,2026-07-11,,740.0,485.0,847.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9965316370940743,0.0,0.06309751434034419,0.9191304347826086,0.6,0.05605590062111805,0.44999999999999996,0.92,0.5991239669421489,0.26856770186335405,0.6712097335867433,0.8061196663527312,0.9757731958762885,0.5,1.0,0.13043478260869565,0.7472549606476798
mg_comet_ev,MG Comet EV,MG,Comet EV,Model range,6.31,6.31,6.31,8.82,17.4,230.0,230.0,2.42,52.0,True,55.0,135.0,114.0,13.7,Hatchback,City Hatchback,4.0,250.0,170.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,Hill Hold Control; TPMS; Voice Command; Cruise Control; Airbags,,https://www.carwale.com/mg-cars/comet-ev/,2026-07-13,On sale / listed by CarWale,Rs. 6.31 - 8.82 Lakh,230 km,17.3 to 17.4 kWh,,Hill Hold Control; TPMS; Voice Command; Cruise Control; Airbags,6.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/125193/comet-ev-exterior-right-front-three-quarter-31.png?isig=0&q=80,https://www.carwale.com/mg-cars/comet-ev/,CarWale listing and model page,2026-07-11,,869.0,601.0,682.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9959022430532307,0.08733624454148471,0.0,0.9191304347826086,0.6,0.05605590062111805,0.38,0.92,0.6445676855895197,0.3139825490249261,0.6728334931679271,0.8107831737037078,0.8959234608985025,0.5,1.0,0.21739130434782608,0.7472493891617257
tata_punch_ev,Tata Punch EV,Tata,Punch EV,Model range,8.09,8.09,8.09,12.79,40.0,468.0,365.0,5.3,52.0,True,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,High-beam Assist; Hill Hold Control; Traction Control; Wireless Charger; Ventilated Seats; Voice Command; Cruise Control; Automatic Headlamps,,https://www.carwale.com/tata-cars/punch-ev/,2026-07-13,On sale / listed by CarWale,Rs. 8.09 - 12.79 Lakh,355 to 468 km,30 to 40 kWh,Charging Time (AC Fast Charger) 10-100 % : 5 hrs 18 / Charging Time (AC Fast Charger) 10-100 % : 4 hrs 30,High-beam Assist; Hill Hold Control; Traction Control; Wireless Charger; Ventilated Seats; Voice Command; Cruise Control; Automatic Headlamps,6.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/217141/punch-ev-exterior-right-front-three-quarter-327.png?isig=0&q=80,https://www.carwale.com/tata-cars/punch-ev/,CarWale listing and model page,2026-07-11,,3681.0,3225.0,2871.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9935185805155674,0.2838427947598253,0.21606118546845127,0.9191304347826086,1.0,0.20021350931677012,0.7725,0.62,0.5386755566783356,0.4449974768775936,0.7964089025065177,0.9972453060232618,0.5913953488372092,0.5,1.0,0.21739130434782608,0.8224953736411695
citroen_ec3_x,Citroen eC3 X,Citroen,eC3 X,Model range,9.45,9.45,9.45,10.79,29.2,320.0,320.0,10.5,52.0,True,55.0,135.0,114.0,13.7,Hatchback,City Hatchback,5.0,250.0,170.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,Wireless Charger; Voice Command; Cruise Control; Airbags,,https://www.carwale.com/citroen-cars/ec3-x/,2026-07-13,On sale / listed by CarWale,Rs. 9.45 - 10.79 Lakh,320 km,29.2 kWh,Charging Time (AC Fast Charger) 10-100 % : 10 hrs 30 / Charging Time (DC Fast Charger) 10-80 % : 57 mins,Wireless Charger; Voice Command; Cruise Control; Airbags,3.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/172911/ec3-facelift-exterior-right-front-three-quarter-9.png?isig=0&q=80,https://www.carwale.com/citroen-cars/ec3-x/,CarWale listing and model page,2026-07-11,,32.0,13.0,38.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9916973552058922,0.2183406113537118,0.11281070745697898,0.9191304347826086,0.6,0.05605590062111805,0.44999999999999996,0.92,0.5791244481335788,0.38210481976728417,0.6930517739859697,0.41368418748406016,1.0,0.5,1.0,0.08695652173913043,0.5452385121091581
mg_windsor_ev,MG Windsor EV,MG,Windsor EV,Model range,12.04,12.04,12.04,16.1,52.9,449.0,350.0,9.5,45.0,True,105.0,257.0,132.0,11.6,MUV/MPV,Family MPV,5.0,450.0,180.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,,https://www.carwale.com/mg-cars/windsor-ev/,2026-07-13,On sale / listed by CarWale,Rs. 12.04 - 16.10 Lakh,331 to 449 km,38 to 52.9 kWh,Charging Time (AC Fast Charger) 10-100 % : 9 hrs 30,ADAS; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,6.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/174611/windsor-ev-exterior-right-front-three-quarter-84.png?isig=0&q=80,https://www.carwale.com/mg-cars/windsor-ev/,CarWale listing and model page,2026-07-11,,2032.0,3296.0,4530.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9882289922999665,0.26200873362445415,0.3393881453154876,0.9952173913043478,0.6,0.20021350931677012,0.7,0.58,0.4551823956115342,0.4549481129132876,0.7480214063019979,0.9982621051003429,0.06650485436893194,0.5,1.0,0.21739130434782608,0.754230750280516
tata_nexon_ev,Tata Nexon EV,Tata,Nexon EV,Model range,12.49,12.49,12.49,17.69,45.0,489.0,381.0,4.3,45.0,True,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,,https://www.carwale.com/tata-cars/nexon-ev/,2026-07-13,On sale / listed by CarWale,Rs. 12.49 - 17.69 Lakh,325 to 489 km,30 to 45 kWh,Charging Time (AC Fast Charger) 10-100 % : 4 hrs 18 / Charging Time (AC Fast Charger) 10-100 % : 6 hrs 36,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,8.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/149123/nexon-ev-exterior-right-front-three-quarter-80.png?isig=0&q=80,https://www.carwale.com/tata-cars/nexon-ev/,CarWale listing and model page,2026-07-11,,2649.0,2499.0,2405.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9876263809842651,0.3071324599708879,0.26386233269598475,0.9952173913043478,1.0,0.20021350931677012,0.7725,0.62,0.560601044185403,0.4784124506134331,0.80468884110804,0.965440202177759,0.5100240096038415,0.5,1.0,0.30434782608695654,0.804142273304817
tata_tigor_ev,Tata Tigor EV,Tata,Tigor EV,Model range,12.49,12.49,12.49,13.75,26.0,315.0,315.0,3.61,120.0,False,140.0,343.0,144.0,10.2,Sedan,Sedan,5.0,420.0,160.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Hill Hold Control; Voice Command; Cruise Control; Automatic Headlamps; Airbags; Apple CarPlay; Android Auto,,https://www.carwale.com/tata-cars/tigor-ev/,2026-07-13,On sale / listed by CarWale,Rs. 12.49 - 13.75 Lakh,315 km,26 kWh,,ADAS; Hill Hold Control; Voice Command; Cruise Control; Automatic Headlamps; Airbags; Apple CarPlay; Android Auto,4.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/135723/tigor-ev-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/tata-cars/tigor-ev/,CarWale listing and model page,2026-07-11,,186.0,260.0,367.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9876263809842651,0.21106259097525473,0.08221797323135757,0.0,0.6,0.2983113354037267,0.6625,0.64,0.5454807222683364,0.1694148143878778,0.6393380033446073,0.69106519667081,0.16538461538461535,0.5,1.0,0.13043478260869565,0.5863553991250235
maruti_suzuki_e_vitara,Maruti Suzuki e Vitara,Maruti Suzuki,e Vitara,Model range,13.49,13.49,13.49,17.46,61.0,543.0,440.0,9.0,45.0,True,120.0,294.0,137.0,11.0,SUV,Compact SUV,5.0,380.0,190.0,5.0,6.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,,https://www.carwale.com/maruti-suzuki-cars/e-vitara/,2026-07-13,On sale / listed by CarWale,Rs. 13.49 - 17.46 Lakh,440 to 543 km,49 to 61 kWh,"Charging Time (AC Fast Charger) 10-100 % : 9 hrs, 7.4 / Charging Time (AC Fast Charger) 10-100 % : 6 hrs 30",ADAS; Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,4.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/139269/e-vitara-exterior-right-front-three-quarter-5.png?isig=0&q=80,https://www.carwale.com/maruti-suzuki-cars/e-vitara/,CarWale listing and model page,2026-07-11,,1439.0,2006.0,2254.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.986287244727151,0.3930131004366812,0.4168260038240918,0.9952173913043478,1.0,0.24225543478260864,0.7725,0.62,0.5259209763374114,0.5314787687488134,0.818157712044818,0.9307347133001532,0.16734795613160514,0.5,1.0,0.13043478260869565,0.7326775137059462
mahindra_xuv_3xo_ev,Mahindra XUV 3XO EV,Mahindra,XUV 3XO EV,Model range,13.89,13.89,13.89,15.46,39.4,456.0,456.0,5.47,52.0,True,105.0,257.0,132.0,11.6,SUV,Compact SUV,5.0,380.0,190.0,3.0,2.0,Automatic,FWD,3.0,8.0,160000.0,True,ADAS; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Cruise Control; Automatic Headlamps; AWD,Required app fields completed from model/spec references.,https://www.carwale.com/mahindra-cars/xuv-3xo-ev/,2026-07-13,On sale / listed by CarWale,Rs. 13.89 - 15.46 Lakh,456 km,39.4 kWh,"Charging Time (DC Fast Charger) 0-80 % : 50 mins, 50 / DC fast charger can juice it up from zero to 80% in just 50 min",ADAS; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Cruise Control; Automatic Headlamps; AWD,4.0,https://imgd.aeplcdn.com/664x374/n/cw/ec/184409/xuv-3xo-ev-exterior-right-front-three-quarter-3.png?isig=0&q=80,https://www.carwale.com/mahindra-cars/xuv-3xo-ev/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.,559.0,297.0,207.0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026,0.9857515902243054,0.4163027656477438,0.21032504780114725,0.9191304347826086,0.6,0.20021350931677012,0.6125,0.62,0.5826949486929638,0.5138766617393112,0.7458843536731209,0.7240114385267413,1.0,0.5,1.0,0.13043478260869565,0.7164268530833756
