car_id,sales_latest_month,sales_previous_month,sales_3_months_ago,sales_data_month,sales_source
tata_punch_ev,3681,3225,2871,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_xev_9s,3502,3242,3254,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_nexon_ev,2649,2499,2405,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mg_windsor_ev,2032,3296,4530,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_xev_9e,1939,1611,1759,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_harrier_ev,1833,1690,1597,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mg_zs_ev,1562,717,411,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
maruti_suzuki_e_vitara,1439,2006,2254,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_curvv_ev,1288,882,1201,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_be_6,902,1170,1495,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mg_comet_ev,869,601,682,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_tiago_ev,740,485,847,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
vinfast_vf_7,673,537,,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
kia_carens_clavis_ev,569,279,81,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_xuv_3xo_ev,559,297,207,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
vinfast_vf_6,532,401,,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
hyundai_creta_electric,295,519,600,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
tata_tigor_ev,186,260,367,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
mahindra_xuv400,129,66,117,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
vinfast_vf_mpv_7,128,93,,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
toyota_urban_cruiser_ebella,45,0,,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
citroen_ec3_x,32,13,38,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
hyundai_ioniq_5,10,20,0,2026-05,Auto Punditz model-wise EV sales May/April/March 2026
